New Ward,North Ward,,,,,,,
Property list compiled from residential properties at 01/01/2026,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
New Ward,Current Ward,Street,Full Address,Address 1,Address 2,Address 3,Address 4,Post Code
North Ward,North Ward,High Street,1 High Street Demoville DE1 1AA,1 High Street,Demoville,,,DE1 1AA
North Ward,North Ward,Church Lane,12 Church Lane Demoville DE2 2BA,12 Church Lane,Demoville,,,DE2 2BA
North Ward,North Ward,Park Road,21 Park Road Demoville DE3 3CA,21 Park Road,Demoville,,,DE3 3CA
