New Ward,Elland,,,,,,,
Property list compiled from residential properties at 1/12/2024,,,,,,,,
,,,,,,,,
Contains properties from the following existing wards:-,,,,,,,,
,,,,,,,,
Summary of Current Wards,,,,,,,,
Current Ward,Total,,,,,,,
Elland Ward,4932,,,,,,,
Grand Total,4932,,,,,,,
,,,,,,,,
,,,,,,,,
New Ward,Current Ward,Street,Full Address,Address 1,Address 2,Address 3,Address 4,Post Code
Elland Ward,Elland Ward,Victoria Road,"Highgate, 122 Victoria Road, Elland, HX5 0QF",Highgate,122 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Lyndholme, 120 Victoria Road, Elland, HX5 0QF",Lyndholme,120 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Westfield, 118 Victoria Road, Elland, HX5 0QF",Westfield,118 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Carandon, 117 Victoria Road, Elland, HX5 0QF",Carandon,117 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Hill Crest, 116 Victoria Road, Elland, HX5 0QF",Hill Crest,116 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"115 Victoria Road, Elland, HX5 0QF",115 Victoria Road,Elland,,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Casa Loma, 114 Victoria Road, Elland, HX5 0QF",Casa Loma,114 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"113 Victoria Road, Elland, HX5 0QF",113 Victoria Road,Elland,,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Medwyn, 112 Victoria Road, Elland, HX5 0QF",Medwyn,112 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Mahon, 111 Victoria Road, Elland, HX5 0QF",Mahon,111 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Elandene, 110 Victoria Road, Elland, HX5 0QF",Elandene,110 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"109 Victoria Road, Elland, HX5 0QF",109 Victoria Road,Elland,,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"108 Victoria Road, Elland, HX5 0QF",108 Victoria Road,Elland,,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"107 Victoria Road, Elland, HX5 0QF",107 Victoria Road,Elland,,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Ryburn, 106 Victoria Road, Elland, HX5 0QF",Ryburn,106 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"105 Victoria Road, Elland, HX5 0QF",105 Victoria Road,Elland,,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"104 Victoria Road, Elland, HX5 0QF",104 Victoria Road,Elland,,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"103 Victoria Road, Elland, HX5 0QF",103 Victoria Road,Elland,,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Belvedere, 102 Victoria Road, Elland, HX5 0QF",Belvedere,102 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"101 Victoria Road, Elland, HX5 0QF",101 Victoria Road,Elland,,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Glenholme, 100 Victoria Road, Elland, HX5 0QF",Glenholme,100 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"99 Victoria Road, Elland, HX5 0QF",99 Victoria Road,Elland,,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Cragside, 98 Victoria Road, Elland, HX5 0QF",Cragside,98 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Burniston, 97 Victoria Road, Elland, HX5 0QF",Burniston,97 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Wickets View, 96A Victoria Road, Elland, HX5 0QF",Wickets View,96A Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Stoneleigh, 96 Victoria Road, Elland, HX5 0QF",Stoneleigh,96 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Greystones, 95 Victoria Road, Elland, HX5 0QF",Greystones,95 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Birkdale, 94 Victoria Road, Elland, HX5 0QF",Birkdale,94 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Kingslea, 93 Victoria Road, Elland, HX5 0QF",Kingslea,93 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Fieldhead, 92 Victoria Road, Elland, HX5 0QF",Fieldhead,92 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Helenslea, 91 Victoria Road, Elland, HX5 0QF",Helenslea,91 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Birchfield, 90 Victoria Road, Elland, HX5 0QF",Birchfield,90 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Overdale, 89 Victoria Road, Elland, HX5 0QF",Overdale,89 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Laurel Bank, 88 Victoria Road, Elland, HX5 0QF",Laurel Bank,88 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Mayfield, 87 Victoria Road, Elland, HX5 0QF",Mayfield,87 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Strathlea, 86 Victoria Road, Elland, HX5 0QF",Strathlea,86 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"The Gables, 85 Victoria Road, Elland, HX5 0QF",The Gables,85 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Glynwood, 84 Victoria Road, Elland, HX5 0QF",Glynwood,84 Victoria Road,Elland,,HX5 0QF
Elland Ward,Elland Ward,Victoria Road,"Cliftonville, 83 Victoria Road, Elland, HX5 0QA",Cliftonville,83 Victoria Road,Elland,,HX5 0QA
