New Ward,Greetland,,,,,,,
Property list compiled from residential properties at 1/12/2024,,,,,,,,
,,,,,,,,
Contains properties from the following existing wards:-,,,,,,,,
,,,,,,,,
Summary of Current Wards,,,,,,,,
Current Ward,Total,,,,,,,
Elland Ward,300,,,,,,,
Greetland & Stainland Ward,4167,,,,,,,
Grand Total,4467,,,,,,,
,,,,,,,,
"If you wish to view the properties in the Current Ward Summary table (above), simply ""Double click"" on the total number in the righthand ""Total"" column and the results will Open in a new tab. To return back to main Address data, simply click on the ""Address List"" tab at the bottom of the data.",,,,,,,,
,,,,,,,,
New Ward,Current Ward,Street ,Full Address,Address 1,Address 2,Address 3,Address 4,Post Code
Greetland Ward,Greetland & Stainland Ward,Woodfield Drive,"Queenslea, 18 Woodfield Drive, Greetland, Halifax, HX4 8NZ",Queenslea,18 Woodfield Drive,Greetland,Halifax,HX4 8NZ
Greetland Ward,Greetland & Stainland Ward,Woodfield Drive,"The Russets, 17 Woodfield Drive, Greetland, Halifax, HX4 8NZ",The Russets,17 Woodfield Drive,Greetland,Halifax,HX4 8NZ
Greetland Ward,Greetland & Stainland Ward,Woodfield Drive,"The Brambles, 16 Woodfield Drive, Greetland, Halifax, HX4 8NZ",The Brambles,16 Woodfield Drive,Greetland,Halifax,HX4 8NZ
Greetland Ward,Greetland & Stainland Ward,Woodfield Drive,"The Sycamores, 15 Woodfield Drive, Greetland, Halifax, HX4 8NZ",The Sycamores,15 Woodfield Drive,Greetland,Halifax,HX4 8NZ
Greetland Ward,Greetland & Stainland Ward,Woodfield Drive,"Highcliffe, 14 Woodfield Drive, Greetland, Halifax, HX4 8NZ",Highcliffe,14 Woodfield Drive,Greetland,Halifax,HX4 8NZ
Greetland Ward,Greetland & Stainland Ward,Woodfield Drive,"12 Woodfield Drive, Greetland, Halifax, HX4 8NZ",12 Woodfield Drive,Greetland,Halifax,,HX4 8NZ
Greetland Ward,Greetland & Stainland Ward,Woodfield Drive,"The Gables, 11 Woodfield Drive, Greetland, Halifax, HX4 8NZ",The Gables,11 Woodfield Drive,Greetland,Halifax,HX4 8NZ
Greetland Ward,Greetland & Stainland Ward,Woodfield Drive,"10 Woodfield Drive, Greetland, Halifax, HX4 8NZ",10 Woodfield Drive,Greetland,Halifax,,HX4 8NZ
Greetland Ward,Greetland & Stainland Ward,Woodfield Drive,"Chestnuts, 9 Woodfield Drive, Greetland, Halifax, HX4 8NZ",Chestnuts,9 Woodfield Drive,Greetland,Halifax,HX4 8NZ
Greetland Ward,Greetland & Stainland Ward,Woodfield Drive,"Hillside, 8 Woodfield Drive, Greetland, Halifax, HX4 8NZ",Hillside,8 Woodfield Drive,Greetland,Halifax,HX4 8NZ
Greetland Ward,Greetland & Stainland Ward,Woodfield Drive,"The Willows, 7 Woodfield Drive, Greetland, Halifax, HX4 8NZ",The Willows,7 Woodfield Drive,Greetland,Halifax,HX4 8NZ
