New Ward,Halifax Town,,,,,,,
Property list compiled from residential properties at 1/12/2024,,,,,,,,
,,,,,,,,
Contains properties from the following existing wards:-,,,,,,,,
,,,,,,,,
Summary of Current Wards,,,,,,,,
Current Ward,Total,,,,,,,
Northowram & Shelf Ward,1053,,,,,,,
Ovenden Ward,564,,,,,,,
Park Ward,1007,,,,,,,
Skircoat Ward,257,,,,,,,
Town Ward,3757,,,,,,,
Grand Total,6638,,,,,,,
,,,,,,,,
"If you wish to view the properties in the Current Ward Summary table (above), simply ""Double click"" on the total number in the righthand ""Total"" column and the results will Open in a new tab. To return back to main Address data, simply click on the ""Address List"" tab at the bottom of the data.",,,,,,,,
,,,,,,,,
New Ward,Current Ward,Street,Full Address,Address 1,Address 2,Address 3,Address 4,Post Code
Halifax Town Ward,Town Ward,York Terrace,"22 York Terrace, Halifax, HX3 6LZ",22 York Terrace,Halifax,,,HX3 6LZ
Halifax Town Ward,Town Ward,York Terrace,"21 York Terrace, Halifax, HX3 6LZ",21 York Terrace,Halifax,,,HX3 6LZ
Halifax Town Ward,Town Ward,York Terrace,"20 York Terrace, Halifax, HX3 6LZ",20 York Terrace,Halifax,,,HX3 6LZ
Halifax Town Ward,Town Ward,York Terrace,"19 York Terrace, Halifax, HX3 6LZ",19 York Terrace,Halifax,,,HX3 6LZ
Halifax Town Ward,Town Ward,York Terrace,"18 York Terrace, Halifax, HX3 6LZ",18 York Terrace,Halifax,,,HX3 6LZ
Halifax Town Ward,Town Ward,York Terrace,"17 York Terrace, Halifax, HX3 6LZ",17 York Terrace,Halifax,,,HX3 6LZ
Halifax Town Ward,Town Ward,York Terrace,"16 York Terrace, Halifax, HX3 6LZ",16 York Terrace,Halifax,,,HX3 6LZ
Halifax Town Ward,Town Ward,York Terrace,"15 York Terrace, Halifax, HX3 6LZ",15 York Terrace,Halifax,,,HX3 6LZ
Halifax Town Ward,Town Ward,York Terrace,"14 York Terrace, Halifax, HX3 6LZ",14 York Terrace,Halifax,,,HX3 6LZ
Halifax Town Ward,Town Ward,York Terrace,"13 York Terrace, Halifax, HX3 6LZ",13 York Terrace,Halifax,,,HX3 6LZ
Halifax Town Ward,Town Ward,York Terrace,"12 York Terrace, Halifax, HX3 6LZ",12 York Terrace,Halifax,,,HX3 6LZ
Halifax Town Ward,Town Ward,York Terrace,"11 York Terrace, Halifax, HX3 6LZ",11 York Terrace,Halifax,,,HX3 6LZ
Halifax Town Ward,Town Ward,York Terrace,"10 York Terrace, Halifax, HX3 6LZ",10 York Terrace,Halifax,,,HX3 6LZ
Halifax Town Ward,Town Ward,York Terrace,"9 York Terrace, Halifax, HX3 6LZ",9 York Terrace,Halifax,,,HX3 6LZ
