New Ward,Hipperholme and Lightcliffe ,,,,,,,
Property list compiled from residential properties at 1/12/2024,,,,,,,,
,,,,,,,,
Contains properties from the following existing wards:-,,,,,,,,
,,,,,,,,
Summary of Current Wards,,,,,,,,
Current Ward,Total,,,,,,,
Hipperholme & Lightcliffe Ward,5318,,,,,,,
Grand Total,5318,,,,,,,
,,,,,,,,
,,,,,,,,
New Ward,Current Ward,Street ,Full Address,Address 1,Address 2,Address 3,Address 4,Post Code
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"54 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",54 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"52 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",52 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"50 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",50 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"48 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",48 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"47 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",47 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"46 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",46 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"45 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",45 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"44 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",44 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"43 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",43 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"42 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",42 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"41 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",41 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"40 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",40 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"39A Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",39A Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"39 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",39 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"38 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",38 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"37A Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",37A Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"37 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",37 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"36 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",36 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"34 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",34 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"32 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",32 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"30 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",30 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"28 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",28 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"26 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",26 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Wyke Old Lane,"24 Wyke Old Lane, Bailiff Bridge, Brighouse, HD6 4EH",24 Wyke Old Lane,Bailiff Bridge,Brighouse,,HD6 4EH
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Woolrow Lane,"Woolrow Farm Cottage, Woolrow Lane, Brighouse, HD6 4JN",Woolrow Farm Cottage,Woolrow Lane,Brighouse,,HD6 4JN
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Woolrow Lane,"Woolrow, Woolrow Lane, Brighouse, HD6 4JN",Woolrow,Woolrow Lane,Brighouse,,HD6 4JN
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Woolrow Lane,"The Cottage, Woolrow Lane, Brighouse, HD6 4JN",The Cottage,Woolrow Lane,Brighouse,,HD6 4JN
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Woolrow Lane,"Common End Farm, Woolrow Lane, Brighouse, HD6 4JN",Common End Farm,Woolrow Lane,Brighouse,,HD6 4JN
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Winding Rise,"17 Winding Rise, Bailiff Bridge, Brighouse, HD6 4FQ",17 Winding Rise,Bailiff Bridge,Brighouse,,HD6 4FQ
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Winding Rise,"15 Winding Rise, Bailiff Bridge, Brighouse, HD6 4FQ",15 Winding Rise,Bailiff Bridge,Brighouse,,HD6 4FQ
Hipperholme & Lightcliffe Ward,Hipperholme & Lightcliffe Ward,Winding Rise,"11 Winding Rise, Bailiff Bridge, Brighouse, HD6 4FQ",11 Winding Rise,Bailiff Bridge,Brighouse,,HD6 4FQ
