New Ward,Illingworth & Mixenden,,,,,,,
Property list compiled from residential properties at 1/12/2024,,,,,,,,
,,,,,,,,
Contains properties from the following existing wards:-,,,,,,,,
,,,,,,,,
Summary of Current Wards,,,,,,,,
Current Ward,Total,,,,,,,
Illingworth & Mixenden Ward,5390,,,,,,,
Grand Total,5390,,,,,,,
,,,,,,,,
,,,,,,,,
New Ward,Current Ward,Street,Full Address,Address 1,Address 2,Address 3,Address 4,Post Code
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Beechwood Road,"The Cottage, Watkinson Hall, Beechwood Road, Holmfield, HX2 9BU",The Cottage,Watkinson Hall,Beechwood Road,Holmfield,HX2 9BU
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens New Road,"Reservoir Lodge, Withens New Road, Ogden, Halifax, HX2 8YA",Reservoir Lodge,Withens New Road,Ogden,Halifax,HX2 8YA
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"29 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",29 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"27 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",27 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"25 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",25 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"24 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",24 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"23 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",23 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"22 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",22 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"21 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",21 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"20 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",20 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"19 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",19 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"18 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",18 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"17 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",17 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"16 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",16 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"15 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",15 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"14 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",14 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"12 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",12 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"11 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",11 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"10 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",10 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"9 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",9 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"8 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",8 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"7 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",7 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"6 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",6 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"5 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",5 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"4 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",4 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"3 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",3 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"2 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",2 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,Withens Hill Croft,"1 Withens Hill Croft, Illingworth, Halifax, HX2 9LZ",1 Withens Hill Croft,Illingworth,Halifax,,HX2 9LZ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,White Gate,"Shaking House Farm Cottage, 12 White Gate, Illingworth, Halifax, HX2 8XJ",Shaking House Farm Cottage,12 White Gate,Illingworth,Halifax,HX2 8XJ
Illingworth & Mixenden Ward,Illingworth & Mixenden Ward,White Gate,"Shaking House Farm, 11 White Gate, Illingworth, Halifax, HX2 8XJ",Shaking House Farm,11 White Gate,Illingworth,Halifax,HX2 8XJ
