New Ward,Rastrick,,,,,,,
Property list compiled from residential properties at 1/12/2024,,,,,,,,
,,,,,,,,
Contains properties from the following existing wards:-,,,,,,,,
,,,,,,,,
Summary of Current Wards,,,,,,,,
Current Ward,Total,,,,,,,
Elland Ward,634,,,,,,,
Rastrick Ward,5270,,,,,,,
Grand Total,5904,,,,,,,
,,,,,,,,
"If you wish to view the properties in the Current Ward Summary table (above), simply ""Double click"" on the total number in the righthand ""Total"" column and the results will Open in a new tab. To return back to main Address data, simply click on the ""Address List"" tab at the bottom of the data.",,,,,,,,
,,,,,,,,
New Ward,Current Ward,Street,Full Address,Address 1,Address 2,Address 3,Address 4,Post Code
Rastrick Ward,Rastrick Ward,Wildfell Close,"6 Wildfell Close, Rastrick, Brighouse, HD6 3BZ",6 Wildfell Close,Rastrick,Brighouse,,HD6 3BZ
Rastrick Ward,Rastrick Ward,Wildfell Close,"5 Wildfell Close, Rastrick, Brighouse, HD6 3BZ",5 Wildfell Close,Rastrick,Brighouse,,HD6 3BZ
Rastrick Ward,Rastrick Ward,Wildfell Close,"4 Wildfell Close, Rastrick, Brighouse, HD6 3BZ",4 Wildfell Close,Rastrick,Brighouse,,HD6 3BZ
Rastrick Ward,Rastrick Ward,Wildfell Close,"3 Wildfell Close, Rastrick, Brighouse, HD6 3BZ",3 Wildfell Close,Rastrick,Brighouse,,HD6 3BZ
Rastrick Ward,Rastrick Ward,Wensley Grove,"41 Wensley Grove, Brighouse, HD6 3LH",41 Wensley Grove,Brighouse,,,HD6 3LH
Rastrick Ward,Rastrick Ward,Wensley Grove,"39 Wensley Grove, Brighouse, HD6 3LH",39 Wensley Grove,Brighouse,,,HD6 3LH
Rastrick Ward,Rastrick Ward,Wensley Grove,"37 Wensley Grove, Brighouse, HD6 3LH",37 Wensley Grove,Brighouse,,,HD6 3LH
Rastrick Ward,Rastrick Ward,Wensley Grove,"35 Wensley Grove, Brighouse, HD6 3LH",35 Wensley Grove,Brighouse,,,HD6 3LH
Rastrick Ward,Rastrick Ward,Wensley Grove,"33 Wensley Grove, Brighouse, HD6 3LH",33 Wensley Grove,Brighouse,,,HD6 3LH
