New Ward,Ryburn,,,,,,,
Property list compiled from residential properties at 1/12/2024,,,,,,,,
,,,,,,,,
Contains properties from the following existing wards:-,,,,,,,,
,,,,,,,,
Summary of Current Wards,,,,,,,,
Current Ward,Total,,,,,,,
Greetland & Stainland Ward,1056,,,,,,,
Ryburn Ward,3561,,,,,,,
Luddendenfoot Ward,80,,,,,,,
Grand Total,4697,,,,,,,
,,,,,,,,
"If you wish to view the properties in the Current Ward Summary table (above), simply ""Double click"" on the total number in the righthand ""Total"" column and the results will Open in a new tab. To return back to main Address data, simply click on the ""Address List"" Tab at the bottom of the data.",,,,,,,,
,,,,,,,,
New Ward,Current Ward,Street,Full Address,Address 1,Address 2,Address 3,Address 4,Post Code
Ryburn Ward,Ryburn Ward,Wicking Lane,"Upper Burnt Moor Farm, 1 Wicking Lane, Soyland, Sowerby Bridge, HX6 4NR",Upper Burnt Moor Farm,1 Wicking Lane,Soyland,Sowerby Bridge,HX6 4NR
Ryburn Ward,Ryburn Ward,Wicking Lane,"Wicken Hall Farm, Wicking Lane, Soyland, Sowerby Bridge, HX6 4NT",Wicken Hall Farm,Wicking Lane,Soyland,Sowerby Bridge,HX6 4NT
Ryburn Ward,Ryburn Ward,Wicking Lane,"Weather Hill, Wicking Lane, Soyland, Sowerby Bridge, HX6 4NR",Weather Hill,Wicking Lane,Soyland,Sowerby Bridge,HX6 4NR
Ryburn Ward,Ryburn Ward,Wicking Lane,"Noah Dale Farm, Wicking Lane, Soyland, Sowerby Bridge, HX6 4NT",Noah Dale Farm,Wicking Lane,Soyland,Sowerby Bridge,HX6 4NT
Ryburn Ward,Ryburn Ward,Wicking Lane,"Middle Burnt Moor, Wicking Lane, Soyland, Sowerby Bridge, HX6 4NR",Middle Burnt Moor,Wicking Lane,Soyland,Sowerby Bridge,HX6 4NR
Ryburn Ward,Ryburn Ward,Wicking Lane,"Lower Burnt Moor Dairy, Wicking Lane, Soyland, Sowerby Bridge, HX6 4NR",Lower Burnt Moor Dairy,Wicking Lane,Soyland,Sowerby Bridge,HX6 4NR
Ryburn Ward,Ryburn Ward,Wicking Lane,"Hall Moor Farm, Wicking Lane, Soyland, Sowerby Bridge, HX6 4NR",Hall Moor Farm,Wicking Lane,Soyland,Sowerby Bridge,HX6 4NR
Ryburn Ward,Ryburn Ward,Wicking Lane,"Hall Green, Wicking Lane, Soyland, Sowerby Bridge, HX6 4NR",Hall Green,Wicking Lane,Soyland,Sowerby Bridge,HX6 4NR
Ryburn Ward,Ryburn Ward,Wicking Lane,"2 Lower Burnt Moor Cottages, Wicking Lane, Soyland, Sowerby Bridge, HX6 4NR",2 Lower Burnt Moor Cottages,Wicking Lane,Soyland,Sowerby Bridge,HX6 4NR
Ryburn Ward,Ryburn Ward,Wicking Lane,"1 Lower Burnt Moor Cottages, Wicking Lane, Soyland, Sowerby Bridge, HX6 4NR",1 Lower Burnt Moor Cottages,Wicking Lane,Soyland,Sowerby Bridge,HX6 4NR
Ryburn Ward,Ryburn Ward,Water Green Lane,"5 Water Green, Water Green Lane, Soyland, Sowerby Bridge, HX6 4NW",5 Water Green,Water Green Lane,Soyland,Sowerby Bridge,HX6 4NW
Ryburn Ward,Ryburn Ward,Water Green Lane,"4 Water Green, Water Green Lane, Soyland, Sowerby Bridge, HX6 4NW",4 Water Green,Water Green Lane,Soyland,Sowerby Bridge,HX6 4NW
Ryburn Ward,Ryburn Ward,Water Green Lane,"3 Water Green, Water Green Lane, Soyland, Sowerby Bridge, HX6 4NW",3 Water Green,Water Green Lane,Soyland,Sowerby Bridge,HX6 4NW
Ryburn Ward,Ryburn Ward,Water Green Lane,"2 Water Green, Water Green Lane, Soyland, Sowerby Bridge, HX6 4NW",2 Water Green,Water Green Lane,Soyland,Sowerby Bridge,HX6 4NW
Ryburn Ward,Ryburn Ward,Water Green Lane,"1 Water Green, Water Green Lane, Soyland, Sowerby Bridge, HX6 4NW",1 Water Green,Water Green Lane,Soyland,Sowerby Bridge,HX6 4NW
Ryburn Ward,Ryburn Ward,Soyland Town Road,"Dark House, 34 Holly Royd, Soyland Town Road, Ripponden, HX6 4NE",Dark House,34 Holly Royd,Soyland Town Road,Ripponden,HX6 4NE
Ryburn Ward,Ryburn Ward,Soyland Town Road,"30 Holly Royd, Soyland Town Road, Ripponden, Sowerby Bridge, HX6 4NE",30 Holly Royd,Soyland Town Road,Ripponden,Sowerby Bridge,HX6 4NE
Ryburn Ward,Ryburn Ward,Soyland Town Road,"28 Holly Royd, Soyland Town Road, Ripponden, Sowerby Bridge, HX6 4NE",28 Holly Royd,Soyland Town Road,Ripponden,Sowerby Bridge,HX6 4NE
Ryburn Ward,Ryburn Ward,Soyland Town Road,"26 Holly Royd, Soyland Town Road, Ripponden, Sowerby Bridge, HX6 4NE",26 Holly Royd,Soyland Town Road,Ripponden,Sowerby Bridge,HX6 4NE
Ryburn Ward,Ryburn Ward,Soyland Town Road,"24 Holly Royd, Soyland Town Road, Ripponden, Sowerby Bridge, HX6 4NE",24 Holly Royd,Soyland Town Road,Ripponden,Sowerby Bridge,HX6 4NE
Ryburn Ward,Ryburn Ward,Soyland Town Road,"22 Holly Royd, Soyland Town Road, Ripponden, Sowerby Bridge, HX6 4NE",22 Holly Royd,Soyland Town Road,Ripponden,Sowerby Bridge,HX6 4NE
Ryburn Ward,Ryburn Ward,Soyland Town Road,"20 Holly Royd, Soyland Town Road, Ripponden, Sowerby Bridge, HX6 4NE",20 Holly Royd,Soyland Town Road,Ripponden,Sowerby Bridge,HX6 4NE
Ryburn Ward,Ryburn Ward,Soyland Town Road,"18A Holly Royd, Soyland Town Road, Ripponden, Sowerby Bridge, HX6 4NE",18A Holly Royd,Soyland Town Road,Ripponden,Sowerby Bridge,HX6 4NE
Ryburn Ward,Ryburn Ward,Slack Lane,"Far Slack Farm, Slack Lane, Ripponden, Sowerby Bridge, HX6 4NH",Far Slack Farm,Slack Lane,Ripponden,Sowerby Bridge,HX6 4NH
Ryburn Ward,Ryburn Ward,Merry Bent Lane,"Upper Merry Bent Farm, Merry Bent Lane, Soyland, Sowerby Bridge, HX6 4NH",Upper Merry Bent Farm,Merry Bent Lane,Soyland,Sowerby Bridge,HX6 4NH
Ryburn Ward,Ryburn Ward,Merry Bent Lane,"Great Merry Bent Farm, Merry Bent Lane, Soyland, Sowerby Bridge, HX6 4NH",Great Merry Bent Farm,Merry Bent Lane,Soyland,Sowerby Bridge,HX6 4NH
Ryburn Ward,Ryburn Ward,Lighthazles Road,"Thurst House Farm, Lighthazles Road, Soyland, Sowerby Bridge, HX6 4NN",Thurst House Farm,Lighthazles Road,Soyland,Sowerby Bridge,HX6 4NN
Ryburn Ward,Ryburn Ward,Lighthazles Road,"Thurst House Barn, Lighthazles Road, Soyland, Sowerby Bridge, HX6 4NN",Thurst House Barn,Lighthazles Road,Soyland,Sowerby Bridge,HX6 4NN
Ryburn Ward,Ryburn Ward,Lighthazles Road,"Shuttle House, Lighthazles Road, Soyland, Sowerby Bridge, HX6 4NP",Shuttle House,Lighthazles Road,Soyland,Sowerby Bridge,HX6 4NP
Ryburn Ward,Ryburn Ward,Lighthazles Road,"Rockville, Lighthazles Road, Soyland, Sowerby Bridge, HX6 4NP",Rockville,Lighthazles Road,Soyland,Sowerby Bridge,HX6 4NP
Ryburn Ward,Ryburn Ward,Lighthazles Road,"The Old Coach Houses, Lighthazles Road, Soyland, Sowerby Bridge, HX6 4NN",The Old Coach Houses,Lighthazles Road,Soyland,Sowerby Bridge,HX6 4NN
Ryburn Ward,Ryburn Ward,Lighthazles Road,"Odessa House, Lighthazles Road, Soyland, Sowerby Bridge, HX6 4NP",Odessa House,Lighthazles Road,Soyland,Sowerby Bridge,HX6 4NP
Ryburn Ward,Ryburn Ward,Lighthazles Road,"Meadow Croft Barn, Lighthazles Road, Soyland, Sowerby Bridge, HX6 4NP",Meadow Croft Barn,Lighthazles Road,Soyland,Sowerby Bridge,HX6 4NP
Ryburn Ward,Ryburn Ward,Lighthazles Road,"Great House Farm, Lighthazles Road, Soyland, Sowerby Bridge, HX6 4NP",Great House Farm,Lighthazles Road,Soyland,Sowerby Bridge,HX6 4NP
Ryburn Ward,Ryburn Ward,Lighthazles Road,"Great House Barn, Lighthazles Road, Soyland, Sowerby Bridge, HX6 4NP",Great House Barn,Lighthazles Road,Soyland,Sowerby Bridge,HX6 4NP
Ryburn Ward,Ryburn Ward,Lighthazles Road,"Clay House Mistal, Lighthazles Road, Soyland, Sowerby Bridge, HX6 4NP",Clay House Mistal,Lighthazles Road,Soyland,Sowerby Bridge,HX6 4NP
Ryburn Ward,Ryburn Ward,Lighthazles Road,"Clay House, Lighthazles Road, Soyland, Sowerby Bridge, HX6 4NP",Clay House,Lighthazles Road,Soyland,Sowerby Bridge,HX6 4NP
Ryburn Ward,Ryburn Ward,Lighthazles Road,"The Barn, Carr Farm, Lighthazles Road, Soyland, HX6 4NP",The Barn,Carr Farm,Lighthazles Road,Soyland,HX6 4NP
Ryburn Ward,Ryburn Ward,Lighthazles Road,"Carr Farm, Lighthazles Road, Soyland, Sowerby Bridge, HX6 4NP",Carr Farm,Lighthazles Road,Soyland,Sowerby Bridge,HX6 4NP
Ryburn Ward,Ryburn Ward,Lighthazles Road,"Carr Cottage, Lighthazles Road, Soyland, Sowerby Bridge, HX6 4NP",Carr Cottage,Lighthazles Road,Soyland,Sowerby Bridge,HX6 4NP
Ryburn Ward,Ryburn Ward,Lighthazles Road,"2 Waterhouses, Lighthazles Road, Soyland, Sowerby Bridge, HX6 4NP",2 Waterhouses,Lighthazles Road,Soyland,Sowerby Bridge,HX6 4NP
Ryburn Ward,Ryburn Ward,Lighthazles Road,"1 Waterhouses, Lighthazles Road, Soyland, Sowerby Bridge, HX6 4NP",1 Waterhouses,Lighthazles Road,Soyland,Sowerby Bridge,HX6 4NP
Ryburn Ward,Ryburn Ward,Lighthazles Road,"2 Spring Rock, Lighthazles Road, Soyland, Sowerby Bridge, HX6 4NP",2 Spring Rock,Lighthazles Road,Soyland,Sowerby Bridge,HX6 4NP
Ryburn Ward,Ryburn Ward,Lighthazles Road,"1 Spring Rock, Lighthazles Road, Soyland, Sowerby Bridge, HX6 4NP",1 Spring Rock,Lighthazles Road,Soyland,Sowerby Bridge,HX6 4NP
Ryburn Ward,Ryburn Ward,Lighthazles Chapel Road,"The Owl, Lighthazles Chapel Road, Ripponden, Sowerby Bridge, HX6 4NN",The Owl,Lighthazles Chapel Road,Ripponden,Sowerby Bridge,HX6 4NN
Ryburn Ward,Ryburn Ward,Lighthazles Chapel Road,"Macpelah House, Lighthazles Chapel Road, Ripponden, Sowerby Bridge, HX6 4NN",Macpelah House,Lighthazles Chapel Road,Ripponden,Sowerby Bridge,HX6 4NN
Ryburn Ward,Ryburn Ward,Lighthazles Chapel Road,"The Bungalow, Lighthazles Chapel Road, Ripponden, Sowerby Bridge, HX6 4NN",The Bungalow,Lighthazles Chapel Road,Ripponden,Sowerby Bridge,HX6 4NN
Ryburn Ward,Ryburn Ward,Lane Head Road,"2 Lane Head, Lane Head Road, Ripponden, Sowerby Bridge, HX6 4NG",2 Lane Head,Lane Head Road,Ripponden,Sowerby Bridge,HX6 4NG
Ryburn Ward,Ryburn Ward,Lane Head Road,"Upper Cross Wells, 10 - 12 Lane Head Road, Ripponden, Sowerby Bridge, HX6 4NQ",Upper Cross Wells,10 - 12 Lane Head Road,Ripponden,Sowerby Bridge,HX6 4NQ
Ryburn Ward,Ryburn Ward,Lane Head Road,"Shaw Well, Lane Head Road, Ripponden, Sowerby Bridge, HX6 4ND",Shaw Well,Lane Head Road,Ripponden,Sowerby Bridge,HX6 4ND
Ryburn Ward,Ryburn Ward,Lane Head Road,"Shaw Edge Farm, Lane Head Road, Ripponden, Sowerby Bridge, HX6 4NQ",Shaw Edge Farm,Lane Head Road,Ripponden,Sowerby Bridge,HX6 4NQ
Ryburn Ward,Ryburn Ward,Lane Head Road,"Moor Shaw Farm, Lane Head Road, Ripponden, Sowerby Bridge, HX6 4NQ",Moor Shaw Farm,Lane Head Road,Ripponden,Sowerby Bridge,HX6 4NQ
Ryburn Ward,Ryburn Ward,High Field Lane,"2 Highfield Cottages, High Field Lane, Ripponden, Sowerby Bridge, HX6 4NF",2 Highfield Cottages,High Field Lane,Ripponden,Sowerby Bridge,HX6 4NF
Ryburn Ward,Ryburn Ward,High Field Lane,"1 Highfield Cottages, High Field Lane, Ripponden, Sowerby Bridge, HX6 4NF",1 Highfield Cottages,High Field Lane,Ripponden,Sowerby Bridge,HX6 4NF
Ryburn Ward,Ryburn Ward,Greave Road,"Little Greave Farm, Greave Road, Cotton Stones, Sowerby Bridge, HX6 4NU",Little Greave Farm,Greave Road,Cotton Stones,Sowerby Bridge,HX6 4NU
Ryburn Ward,Ryburn Ward,Greave Road,"Great Greave Farm, Greave Road, Cotton Stones, Sowerby Bridge, HX6 4NU",Great Greave Farm,Greave Road,Cotton Stones,Sowerby Bridge,HX6 4NU
Ryburn Ward,Ryburn Ward,Greave Road,"The Lodge, Flints Hall Farm, Greave Road, Cotton Stones, HX6 4NT",The Lodge,Flints Hall Farm,Greave Road,Cotton Stones,HX6 4NT
Ryburn Ward,Ryburn Ward,Greave Road,"Flints Hall Farm, Greave Road, Cotton Stones, Sowerby Bridge, HX6 4NT",Flints Hall Farm,Greave Road,Cotton Stones,Sowerby Bridge,HX6 4NT
Ryburn Ward,Ryburn Ward,Gough Lane,"Wood End Barn, Gough Lane, Soyland, Sowerby Bridge, HX6 4NP",Wood End Barn,Gough Lane,Soyland,Sowerby Bridge,HX6 4NP
Ryburn Ward,Ryburn Ward,Gough Lane,"Wood End, Gough Lane, Soyland, Sowerby Bridge, HX6 4NP",Wood End,Gough Lane,Soyland,Sowerby Bridge,HX6 4NP
Ryburn Ward,Ryburn Ward,Gough Lane,"Gough Farm, Gough Lane, Soyland, Sowerby Bridge, HX6 4NP",Gough Farm,Gough Lane,Soyland,Sowerby Bridge,HX6 4NP
Ryburn Ward,Ryburn Ward,Gough Lane,"Gough Cottage, Gough Lane, Soyland, Sowerby Bridge, HX6 4NP",Gough Cottage,Gough Lane,Soyland,Sowerby Bridge,HX6 4NP
Ryburn Ward,Ryburn Ward,Gough Lane,"Gough Barn, Gough Lane, Soyland, Sowerby Bridge, HX6 4NP",Gough Barn,Gough Lane,Soyland,Sowerby Bridge,HX6 4NP
Ryburn Ward,Ryburn Ward,Foxen Lane,"Severhills Farm, Foxen Lane, Mill Bank, Sowerby Bridge, HX6 4ND",Severhills Farm,Foxen Lane,Mill Bank,Sowerby Bridge,HX6 4ND
Ryburn Ward,Ryburn Ward,Foxen Lane,"Severhills Cottage, Foxen Lane, Mill Bank, Sowerby Bridge, HX6 4ND",Severhills Cottage,Foxen Lane,Mill Bank,Sowerby Bridge,HX6 4ND
Ryburn Ward,Ryburn Ward,Foxen Lane,"Old Bridge End, Foxen Lane, Mill Bank, Sowerby Bridge, HX6 3JN",Old Bridge End,Foxen Lane,Mill Bank,Sowerby Bridge,HX6 3JN
Ryburn Ward,Ryburn Ward,Foxen Lane,"Homestead Cottage, Foxen Lane, Mill Bank, Sowerby Bridge, HX6 3JN",Homestead Cottage,Foxen Lane,Mill Bank,Sowerby Bridge,HX6 3JN
Ryburn Ward,Ryburn Ward,Foxen Lane,"Elf Hollow, Foxen Lane, Mill Bank, Sowerby Bridge, HX6 3LH",Elf Hollow,Foxen Lane,Mill Bank,Sowerby Bridge,HX6 3LH
Ryburn Ward,Ryburn Ward,Foxen Lane,"Dan Y Coed, Foxen Lane, Mill Bank, Sowerby Bridge, HX6 3JN",Dan Y Coed,Foxen Lane,Mill Bank,Sowerby Bridge,HX6 3JN
Ryburn Ward,Ryburn Ward,Foxen Lane,"Damside House, Foxen Lane, Mill Bank, Sowerby Bridge, HX6 3JN",Damside House,Foxen Lane,Mill Bank,Sowerby Bridge,HX6 3JN
Ryburn Ward,Ryburn Ward,Foxen Lane,"Cloughside, Foxen Lane, Mill Bank, Sowerby Bridge, HX6 3JN",Cloughside,Foxen Lane,Mill Bank,Sowerby Bridge,HX6 3JN
Ryburn Ward,Ryburn Ward,Foxen Lane,"Brown Hill Farm, Foxen Lane, Mill Bank, Sowerby Bridge, HX6 4ND",Brown Hill Farm,Foxen Lane,Mill Bank,Sowerby Bridge,HX6 4ND
Ryburn Ward,Ryburn Ward,Foxen Lane,"Brown Hill Cottage, Foxen Lane, Mill Bank, Sowerby Bridge, HX6 4ND",Brown Hill Cottage,Foxen Lane,Mill Bank,Sowerby Bridge,HX6 4ND
Ryburn Ward,Ryburn Ward,Foxen Lane,"Brown Hill Barn, Foxen Lane, Mill Bank, Sowerby Bridge, HX6 4ND",Brown Hill Barn,Foxen Lane,Mill Bank,Sowerby Bridge,HX6 4ND
Ryburn Ward,Ryburn Ward,Foxen Lane,"6 The Old Water Mill, Foxen Lane, Mill Bank, Sowerby Bridge, HX6 3JN",6 The Old Water Mill,Foxen Lane,Mill Bank,Sowerby Bridge,HX6 3JN
Ryburn Ward,Ryburn Ward,Foxen Lane,"5 The Old Water Mill, Foxen Lane, Mill Bank, Sowerby Bridge, HX6 3JN",5 The Old Water Mill,Foxen Lane,Mill Bank,Sowerby Bridge,HX6 3JN
