New Ward,Sowerby Bridge,,,,,,,
Property list compiled from residential properties at 1/12/2024,,,,,,,,
,,,,,,,,
Contains properties from the following existing wards:-,,,,,,,,
,,,,,,,,
Summary of Current Wards,,,,,,,,
Current Ward,Total,,,,,,,
Ryburn Ward,1772,,,,,,,
Sowerby Bridge Ward,4313,,,,,,,
Warley Ward,9,,,,,,,
Grand Total,6094,,,,,,,
,,,,,,,,
"If you wish to view the properties in the Current Ward Summary table (above), simply ""Double click"" on the total number in the righthand ""Total"" column and the results will Open in a new tab. To return back to main Address data, simply click on the ""Address List"" tab at the bottom of the data.",,,,,,,,
,,,,,,,,
New Ward,Current Ward,Street,Full Address,Address 1,Address 2,Address 3,Address 4,Post Code
Sowerby Bridge Ward,Warley Ward,Water Hill Lane,"Redstones, Water Hill Lane, Sowerby Bridge, HX6 2UA",Redstones,Water Hill Lane,Sowerby Bridge,,HX6 2UA
Sowerby Bridge Ward,Warley Ward,Burnley Road,"Rock Haven, Burnley Road, Warley, Halifax, HX6 2TH",Rock Haven,Burnley Road,Warley,Halifax,HX6 2TH
Sowerby Bridge Ward,Warley Ward,Blackwall Lane,"7 Holly Drive, Blackwall Lane, Sowerby Bridge, HX6 2FQ",7 Holly Drive,Blackwall Lane,Sowerby Bridge,,HX6 2FQ
Sowerby Bridge Ward,Warley Ward,Blackwall Lane,"6 Holly Drive, Blackwall Lane, Sowerby Bridge, HX6 2FQ",6 Holly Drive,Blackwall Lane,Sowerby Bridge,,HX6 2FQ
Sowerby Bridge Ward,Warley Ward,Blackwall Lane,"5 Holly Drive, Blackwall Lane, Sowerby Bridge, HX6 2FQ",5 Holly Drive,Blackwall Lane,Sowerby Bridge,,HX6 2FQ
Sowerby Bridge Ward,Warley Ward,Blackwall Lane,"4 Holly Drive, Blackwall Lane, Sowerby Bridge, HX6 2FQ",4 Holly Drive,Blackwall Lane,Sowerby Bridge,,HX6 2FQ
Sowerby Bridge Ward,Warley Ward,Blackwall Lane,"3 Holly Drive, Blackwall Lane, Sowerby Bridge, HX6 2FQ",3 Holly Drive,Blackwall Lane,Sowerby Bridge,,HX6 2FQ
Sowerby Bridge Ward,Warley Ward,Blackwall Lane,"2 Holly Drive, Blackwall Lane, Sowerby Bridge, HX6 2FQ",2 Holly Drive,Blackwall Lane,Sowerby Bridge,,HX6 2FQ
Sowerby Bridge Ward,Warley Ward,Blackwall Lane,"1 Holly Drive, Blackwall Lane, Sowerby Bridge, HX6 2FQ",1 Holly Drive,Blackwall Lane,Sowerby Bridge,,HX6 2FQ
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"39 West Street, Sowerby Bridge, HX6 3AP",39 West Street,Sowerby Bridge,,,HX6 3AP
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"37 West Street, Sowerby Bridge, HX6 3AP",37 West Street,Sowerby Bridge,,,HX6 3AP
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"35 West Street, Sowerby Bridge, HX6 3AP",35 West Street,Sowerby Bridge,,,HX6 3AP
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"33 West Street, Sowerby Bridge, HX6 3AP",33 West Street,Sowerby Bridge,,,HX6 3AP
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"31 West Street, Sowerby Bridge, HX6 3AP",31 West Street,Sowerby Bridge,,,HX6 3AP
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"29 West Street, Sowerby Bridge, HX6 3AP",29 West Street,Sowerby Bridge,,,HX6 3AP
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"28 West Street, Sowerby Bridge, HX6 3AN",28 West Street,Sowerby Bridge,,,HX6 3AN
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"27 West Street, Sowerby Bridge, HX6 3AP",27 West Street,Sowerby Bridge,,,HX6 3AP
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"26 West Street, Sowerby Bridge, HX6 3AN",26 West Street,Sowerby Bridge,,,HX6 3AN
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"25 West Street, Sowerby Bridge, HX6 3AP",25 West Street,Sowerby Bridge,,,HX6 3AP
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"24 West Street, Sowerby Bridge, HX6 3AN",24 West Street,Sowerby Bridge,,,HX6 3AN
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"23 West Street, Sowerby Bridge, HX6 3AP",23 West Street,Sowerby Bridge,,,HX6 3AP
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"22 West Street, Sowerby Bridge, HX6 3AN",22 West Street,Sowerby Bridge,,,HX6 3AN
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"Flat 6, 21 West Street, Sowerby Bridge, HX6 3AP",Flat 6,21 West Street,Sowerby Bridge,,HX6 3AP
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"Flat 5, 21 West Street, Sowerby Bridge, HX6 3AP",Flat 5,21 West Street,Sowerby Bridge,,HX6 3AP
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"Flat 4, 21 West Street, Sowerby Bridge, HX6 3AP",Flat 4,21 West Street,Sowerby Bridge,,HX6 3AP
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"Flat 3, 21 West Street, Sowerby Bridge, HX6 3AP",Flat 3,21 West Street,Sowerby Bridge,,HX6 3AP
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"Flat 2, 21 West Street, Sowerby Bridge, HX6 3AP",Flat 2,21 West Street,Sowerby Bridge,,HX6 3AP
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"Flat 1, 21 West Street, Sowerby Bridge, HX6 3AP",Flat 1,21 West Street,Sowerby Bridge,,HX6 3AP
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"20 West Street, Sowerby Bridge, HX6 3AN",20 West Street,Sowerby Bridge,,,HX6 3AN
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"18 West Street, Sowerby Bridge, HX6 3AN",18 West Street,Sowerby Bridge,,,HX6 3AN
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"13 West Street, Sowerby Bridge, HX6 3AP",13 West Street,Sowerby Bridge,,,HX6 3AP
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"1 West Street, Sowerby Bridge, HX6 3AN",1 West Street,Sowerby Bridge,,,HX6 3AN
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"10 Ryburn Buildings, West Street, Sowerby Bridge, HX6 3AH",10 Ryburn Buildings,West Street,Sowerby Bridge,,HX6 3AH
Sowerby Bridge Ward,Sowerby Bridge Ward,West Street,"8 Ryburn Buildings, West Street, Sowerby Bridge, HX6 3AH",8 Ryburn Buildings,West Street,Sowerby Bridge,,HX6 3AH
