New Ward,Todmorden West,,,,,,,
Property list compiled from residential properties at 1/12/2024,,,,,,,,
,,,,,,,,
Contains properties from the following existing wards:-,,,,,,,,
,,,,,,,,
Summary of Current Wards,,,,,,,,
Current Ward,Total,,,,,,,
Todmorden Ward,6051,,,,,,,
Grand Total,6051,,,,,,,
,,,,,,,,
,,,,,,,,
New Ward,Current Ward,Street,Full Address,Address 1,Address 2,Address 3,Address 4,Post Code
Todmorden West Ward,Todmorden Ward,Warland Gate End,"9 Warland Gate End, Walsden, Todmorden, OL14 6UP",9 Warland Gate End,Walsden,Todmorden,,OL14 6UP
Todmorden West Ward,Todmorden Ward,Warland Gate End,"5 Warland Gate End, Walsden, Todmorden, OL14 6UP",5 Warland Gate End,Walsden,Todmorden,,OL14 6UP
Todmorden West Ward,Todmorden Ward,Warland Gate End,"3 Warland Gate End, Walsden, Todmorden, OL14 6UP",3 Warland Gate End,Walsden,Todmorden,,OL14 6UP
Todmorden West Ward,Todmorden Ward,Warland Gate End,"1 Warland Gate End, Walsden, Todmorden, OL14 6UP",1 Warland Gate End,Walsden,Todmorden,,OL14 6UP
Todmorden West Ward,Todmorden Ward,Warland Gate End,"Warland House, Warland Gate End, Walsden, Todmorden, OL14 6UP",Warland House,Warland Gate End,Walsden,Todmorden,OL14 6UP
Todmorden West Ward,Todmorden Ward,Warland,"Warland Farm, Warland, Todmorden, OL14 6XA",Warland Farm,Warland,Todmorden,,OL14 6XA
Todmorden West Ward,Todmorden Ward,Warland,"Warland Cottage, Warland, Todmorden, OL14 6XA",Warland Cottage,Warland,Todmorden,,OL14 6XA
Todmorden West Ward,Todmorden Ward,Warland,"Warland Barn, Warland, Todmorden, OL14 6XA",Warland Barn,Warland,Todmorden,,OL14 6XA
Todmorden West Ward,Todmorden Ward,Warland,"Speedwell, Warland, Todmorden, OL14 6UZ",Speedwell,Warland,Todmorden,,OL14 6UZ
Todmorden West Ward,Todmorden Ward,Warland,"Claremont Villa, Warland, Todmorden, OL14 6UZ",Claremont Villa,Warland,Todmorden,,OL14 6UZ
Todmorden West Ward,Todmorden Ward,Warland,"10 Claremont Terrace, Warland, Todmorden, OL14 6UZ",10 Claremont Terrace,Warland,Todmorden,,OL14 6UZ
Todmorden West Ward,Todmorden Ward,Warland,"5 Claremont Terrace, Warland, Todmorden, OL14 6UZ",5 Claremont Terrace,Warland,Todmorden,,OL14 6UZ
Todmorden West Ward,Todmorden Ward,Warland,"3 Claremont Terrace, Warland, Todmorden, OL14 6UZ",3 Claremont Terrace,Warland,Todmorden,,OL14 6UZ
Todmorden West Ward,Todmorden Ward,Warland,"1 Claremont Terrace, Warland, Todmorden, OL14 6UZ",1 Claremont Terrace,Warland,Todmorden,,OL14 6UZ
Todmorden West Ward,Todmorden Ward,Unity Street,"8 Unity Street, Walsden, Todmorden, OL14 7SR",8 Unity Street,Walsden,Todmorden,,OL14 7SR
Todmorden West Ward,Todmorden Ward,Unity Street,"6 Unity Street, Walsden, Todmorden, OL14 7SR",6 Unity Street,Walsden,Todmorden,,OL14 7SR
Todmorden West Ward,Todmorden Ward,Unity Street,"4 Unity Street, Walsden, Todmorden, OL14 7SR",4 Unity Street,Walsden,Todmorden,,OL14 7SR
Todmorden West Ward,Todmorden Ward,Unity Street,"2 Unity Street, Walsden, Todmorden, OL14 7SR",2 Unity Street,Walsden,Todmorden,,OL14 7SR
Todmorden West Ward,Todmorden Ward,Unity Street,"1 Unity Street, Walsden, Todmorden, OL14 7SR",1 Unity Street,Walsden,Todmorden,,OL14 7SR
Todmorden West Ward,Todmorden Ward,Top Street,"3 Top Street, Walsden, Todmorden, OL14 7UW",3 Top Street,Walsden,Todmorden,,OL14 7UW
Todmorden West Ward,Todmorden Ward,Top Street,"1 Top Street, Walsden, Todmorden, OL14 7UW",1 Top Street,Walsden,Todmorden,,OL14 7UW
Todmorden West Ward,Todmorden Ward,Top Street,"4 The Mullions, Top Street, Walsden, Todmorden, OL14 7UH",4 The Mullions,Top Street,Walsden,Todmorden,OL14 7UH
Todmorden West Ward,Todmorden Ward,Top Street,"2 The Mullions, Top Street, Walsden, Todmorden, OL14 7UH",2 The Mullions,Top Street,Walsden,Todmorden,OL14 7UH
Todmorden West Ward,Todmorden Ward,Top O'th' Close Road,"34 Top O'Th' Close Road, Walsden, Todmorden, OL14 7UT",34 Top O'Th' Close Road,Walsden,Todmorden,,OL14 7UT
Todmorden West Ward,Todmorden Ward,Top O'th' Close Road,"32 Top O'Th' Close Road, Walsden, Todmorden, OL14 7UT",32 Top O'Th' Close Road,Walsden,Todmorden,,OL14 7UT
Todmorden West Ward,Todmorden Ward,Top O'th' Close Road,"30 Top O'Th' Close Road, Walsden, Todmorden, OL14 7UT",30 Top O'Th' Close Road,Walsden,Todmorden,,OL14 7UT
Todmorden West Ward,Todmorden Ward,Top O'th' Close Road,"28 Top O'Th' Close Road, Walsden, Todmorden, OL14 7UT",28 Top O'Th' Close Road,Walsden,Todmorden,,OL14 7UT
Todmorden West Ward,Todmorden Ward,Top O'th' Close Road,"Hill Top View, 26 Top O'Th' Close Road, Walsden, Todmorden, OL14 7UT",Hill Top View,26 Top O'Th' Close Road,Walsden,Todmorden,OL14 7UT
Todmorden West Ward,Todmorden Ward,Top O'th' Close Road,"24 Top O'Th' Close Road, Walsden, Todmorden, OL14 7UT",24 Top O'Th' Close Road,Walsden,Todmorden,,OL14 7UT
Todmorden West Ward,Todmorden Ward,Top O'th' Close Road,"22 Top O'Th' Close Road, Walsden, Todmorden, OL14 7UT",22 Top O'Th' Close Road,Walsden,Todmorden,,OL14 7UT
Todmorden West Ward,Todmorden Ward,Top O'th' Close Road,"18 Top O'Th' Close Road, Walsden, Todmorden, OL14 7UT",18 Top O'Th' Close Road,Walsden,Todmorden,,OL14 7UT
Todmorden West Ward,Todmorden Ward,Top O'th' Close Road,"16 Top O'Th' Close Road, Walsden, Todmorden, OL14 7UT",16 Top O'Th' Close Road,Walsden,Todmorden,,OL14 7UT
Todmorden West Ward,Todmorden Ward,Top O'th' Close Road,"14 Top O'Th' Close Road, Walsden, Todmorden, OL14 7UT",14 Top O'Th' Close Road,Walsden,Todmorden,,OL14 7UT
Todmorden West Ward,Todmorden Ward,Top O'th' Close Road,"12 Top O'Th' Close Road, Walsden, Todmorden, OL14 7UT",12 Top O'Th' Close Road,Walsden,Todmorden,,OL14 7UT
Todmorden West Ward,Todmorden Ward,Top O'th' Close Road,"6 Top O'Th' Close Road, Walsden, Todmorden, OL14 7UT",6 Top O'Th' Close Road,Walsden,Todmorden,,OL14 7UT
Todmorden West Ward,Todmorden Ward,Top O'th' Close Road,"4 Top O'Th' Close Road, Walsden, Todmorden, OL14 7UT",4 Top O'Th' Close Road,Walsden,Todmorden,,OL14 7UT
Todmorden West Ward,Todmorden Ward,Throstle Street,"18 Throstle Street, Walsden, Todmorden, OL14 6UG",18 Throstle Street,Walsden,Todmorden,,OL14 6UG
Todmorden West Ward,Todmorden Ward,Throstle Street,"16 Throstle Street, Walsden, Todmorden, OL14 6UG",16 Throstle Street,Walsden,Todmorden,,OL14 6UG
Todmorden West Ward,Todmorden Ward,Throstle Street,"14 Throstle Street, Walsden, Todmorden, OL14 6UG",14 Throstle Street,Walsden,Todmorden,,OL14 6UG
Todmorden West Ward,Todmorden Ward,Throstle Street,"12 Throstle Street, Walsden, Todmorden, OL14 6UG",12 Throstle Street,Walsden,Todmorden,,OL14 6UG
Todmorden West Ward,Todmorden Ward,Throstle Street,"10 Throstle Street, Walsden, Todmorden, OL14 6UG",10 Throstle Street,Walsden,Todmorden,,OL14 6UG
Todmorden West Ward,Todmorden Ward,Throstle Street,"8 Throstle Street, Walsden, Todmorden, OL14 6UG",8 Throstle Street,Walsden,Todmorden,,OL14 6UG
Todmorden West Ward,Todmorden Ward,Sun Vale Avenue,"33 Sun Vale Avenue, Walsden, Todmorden, OL14 6TP",33 Sun Vale Avenue,Walsden,Todmorden,,OL14 6TP
Todmorden West Ward,Todmorden Ward,Sun Vale Avenue,"31 Sun Vale Avenue, Walsden, Todmorden, OL14 6TP",31 Sun Vale Avenue,Walsden,Todmorden,,OL14 6TP
Todmorden West Ward,Todmorden Ward,Sun Vale Avenue,"29 Sun Vale Avenue, Walsden, Todmorden, OL14 6TP",29 Sun Vale Avenue,Walsden,Todmorden,,OL14 6TP
Todmorden West Ward,Todmorden Ward,Sun Vale Avenue,"27 Sun Vale Avenue, Walsden, Todmorden, OL14 6TP",27 Sun Vale Avenue,Walsden,Todmorden,,OL14 6TP
Todmorden West Ward,Todmorden Ward,Sun Vale Avenue,"26 Sun Vale Avenue, Walsden, Todmorden, OL14 6TP",26 Sun Vale Avenue,Walsden,Todmorden,,OL14 6TP
Todmorden West Ward,Todmorden Ward,Sun Vale Avenue,"25 Sun Vale Avenue, Walsden, Todmorden, OL14 6TP",25 Sun Vale Avenue,Walsden,Todmorden,,OL14 6TP
Todmorden West Ward,Todmorden Ward,Sun Vale Avenue,"24 Sun Vale Avenue, Walsden, Todmorden, OL14 6TP",24 Sun Vale Avenue,Walsden,Todmorden,,OL14 6TP
Todmorden West Ward,Todmorden Ward,Sun Vale Avenue,"23 Sun Vale Avenue, Walsden, Todmorden, OL14 6TP",23 Sun Vale Avenue,Walsden,Todmorden,,OL14 6TP
Todmorden West Ward,Todmorden Ward,Sun Vale Avenue,"22 Sun Vale Avenue, Walsden, Todmorden, OL14 6TP",22 Sun Vale Avenue,Walsden,Todmorden,,OL14 6TP
Todmorden West Ward,Todmorden Ward,Sun Vale Avenue,"21 Sun Vale Avenue, Walsden, Todmorden, OL14 6TP",21 Sun Vale Avenue,Walsden,Todmorden,,OL14 6TP
Todmorden West Ward,Todmorden Ward,Sun Vale Avenue,"20 Sun Vale Avenue, Walsden, Todmorden, OL14 6TP",20 Sun Vale Avenue,Walsden,Todmorden,,OL14 6TP
Todmorden West Ward,Todmorden Ward,Sun Vale Avenue,"19 Sun Vale Avenue, Walsden, Todmorden, OL14 6TP",19 Sun Vale Avenue,Walsden,Todmorden,,OL14 6TP
Todmorden West Ward,Todmorden Ward,Sun Vale Avenue,"18 Sun Vale Avenue, Walsden, Todmorden, OL14 6TP",18 Sun Vale Avenue,Walsden,Todmorden,,OL14 6TP
Todmorden West Ward,Todmorden Ward,Sun Vale Avenue,"17 Sun Vale Avenue, Walsden, Todmorden, OL14 6TP",17 Sun Vale Avenue,Walsden,Todmorden,,OL14 6TP
Todmorden West Ward,Todmorden Ward,Sun Vale Avenue,"16 Sun Vale Avenue, Walsden, Todmorden, OL14 6TP",16 Sun Vale Avenue,Walsden,Todmorden,,OL14 6TP
