New Ward,Warley,,,,,,,
Property list compiled from residential properties at 1/12/2024,,,,,,,,
,,,,,,,,
Contains properties from the following existing wards:-,,,,,,,,
,,,,,,,,
Summary of Current Wards,,,,,,,,
Current Ward,Total,,,,,,,
Warley Ward,5192,,,,,,,
Grand Total,5192,,,,,,,
,,,,,,,,
,,,,,,,,
New Ward,Current Ward,Street,Full Address,Address 1,Address 2,Address 3,Address 4,Post Code
Warley Ward,Warley Ward,Wood Lane,"Hebble Brook House, Wood Lane, Wheatley, Halifax, HX2 0TH",Hebble Brook House,Wood Lane,Wheatley,Halifax,HX2 0TH
Warley Ward,Warley Ward,Templars Gate,"5 Templars Gate, Halifax, HX2 0BP",5 Templars Gate,Halifax,,,HX2 0BP
Warley Ward,Warley Ward,Templars Gate,"4 Templars Gate, Halifax, HX2 0BP",4 Templars Gate,Halifax,,,HX2 0BP
Warley Ward,Warley Ward,Templars Gate,"3 Templars Gate, Halifax, HX2 0BP",3 Templars Gate,Halifax,,,HX2 0BP
Warley Ward,Warley Ward,Templars Gate,"2 Templars Gate, Halifax, HX2 0BP",2 Templars Gate,Halifax,,,HX2 0BP
Warley Ward,Warley Ward,Templars Gate,"1 Templars Gate, Halifax, HX2 0BP",1 Templars Gate,Halifax,,,HX2 0BP
Warley Ward,Warley Ward,Signal View,"79 Signal View, Halifax, HX2 0WB",79 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"77 Signal View, Halifax, HX2 0WB",77 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"75 Signal View, Halifax, HX2 0WB",75 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"73 Signal View, Halifax, HX2 0WB",73 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"71 Signal View, Halifax, HX2 0WB",71 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"69 Signal View, Halifax, HX2 0WB",69 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"67 Signal View, Halifax, HX2 0WB",67 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"65 Signal View, Halifax, HX2 0WB",65 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"63 Signal View, Halifax, HX2 0WB",63 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"61 Signal View, Halifax, HX2 0WB",61 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"59 Signal View, Halifax, HX2 0WB",59 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"57 Signal View, Halifax, HX2 0WB",57 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"55 Signal View, Halifax, HX2 0WB",55 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"53 Signal View, Halifax, HX2 0WB",53 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"51 Signal View, Halifax, HX2 0WB",51 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"49 Signal View, Halifax, HX2 0WB",49 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"47 Signal View, Halifax, HX2 0WB",47 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"45 Signal View, Halifax, HX2 0WB",45 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"43 Signal View, Halifax, HX2 0WB",43 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"41 Signal View, Halifax, HX2 0WB",41 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"39 Signal View, Halifax, HX2 0WB",39 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"37 Signal View, Halifax, HX2 0WB",37 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"35 Signal View, Halifax, HX2 0WB",35 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"33 Signal View, Halifax, HX2 0WB",33 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"31 Signal View, Halifax, HX2 0WB",31 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"29 Signal View, Halifax, HX2 0WB",29 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"27 Signal View, Halifax, HX2 0WB",27 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"25 Signal View, Halifax, HX2 0WB",25 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"23 Signal View, Halifax, HX2 0WB",23 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"21 Signal View, Halifax, HX2 0WB",21 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"19 Signal View, Halifax, HX2 0WB",19 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"17 Signal View, Halifax, HX2 0WB",17 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"15 Signal View, Halifax, HX2 0WB",15 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"14 Signal View, Halifax, HX2 0WD",14 Signal View,Halifax,,,HX2 0WD
Warley Ward,Warley Ward,Signal View,"13 Signal View, Halifax, HX2 0WB",13 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"12 Signal View, Halifax, HX2 0WD",12 Signal View,Halifax,,,HX2 0WD
Warley Ward,Warley Ward,Signal View,"11 Signal View, Halifax, HX2 0WB",11 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"10 Signal View, Halifax, HX2 0WD",10 Signal View,Halifax,,,HX2 0WD
Warley Ward,Warley Ward,Signal View,"9 Signal View, Halifax, HX2 0WB",9 Signal View,Halifax,,,HX2 0WB
Warley Ward,Warley Ward,Signal View,"8 Signal View, Halifax, HX2 0WD",8 Signal View,Halifax,,,HX2 0WD
